file,class,method,variable,usage
/Users/pedrohenriqueferreira/Desktop/Projects/faculdade/eng_economica/eg-economica-loc-metric/src/App.java,App,main/1[java.lang.String[]],args,0
/Users/pedrohenriqueferreira/Desktop/Projects/faculdade/eng_economica/eg-economica-loc-metric/src/App.java,App,main/1[java.lang.String[]],tests,3
